end_time,time_step,sensor,speed,altitude,Pdetect,target_x,target_y,Time to Detect,Cost ($M),treatment,replicate
18.0,0.0002777777777777778,a,0.4,20000.0,0.5,94.82898746845012,36.222898890799215,,13.050000000000002,0.0,1.0
18.0,0.0002777777777777778,b,0.4,20000.0,0.5,91.09760560328097,76.41541089182647,9.24996143331183,14.000000000000002,1.0,1.0
18.0,0.0002777777777777778,c,0.4,20000.0,0.5,45.39922687484903,40.150007998599,0.5707947666471298,23.0,2.0,1.0
18.0,0.0002777777777777778,a,0.65,20000.0,0.5,75.38108172884642,86.30680875604732,8.212967719647022,17.425000000000004,3.0,1.0
18.0,0.0002777777777777778,b,0.65,20000.0,0.5,58.11016754704904,36.71596937880094,0.897967719646128,18.375000000000004,4.0,1.0
18.0,0.0002777777777777778,c,0.65,20000.0,0.5,97.31686487562405,12.930110916936233,3.214634386313157,27.375000000000004,5.0,1.0
18.0,0.0002777777777777778,a,0.9,20000.0,0.5,43.63301392475527,17.314508803341468,5.197637180238938,28.05,6.0,1.0
18.0,0.0002777777777777778,b,0.9,20000.0,0.5,74.49316651350118,47.00324517330833,1.563748291349481,29.0,7.0,1.0
18.0,0.0002777777777777778,c,0.9,20000.0,0.5,45.81426535368319,2.398511971209216,2.2218038469051393,38.0,8.0,1.0
18.0,0.0002777777777777778,a,0.4,25000.0,0.5,23.234562573077568,11.650653152621103,13.335881913289048,18.8,9.0,1.0
18.0,0.0002777777777777778,b,0.4,25000.0,0.5,53.30762304218941,67.65420199872467,1.3878263577479701,19.75,10.0,1.0
18.0,0.0002777777777777778,c,0.4,25000.0,0.5,62.14810730864529,60.09016762143119,0.7356041355256461,28.75,11.0,1.0
18.0,0.0002777777777777778,a,0.65,25000.0,0.5,36.13518471890479,85.73508764135234,7.112145279982599,23.175000000000004,12.0,1.0
18.0,0.0002777777777777778,b,0.65,25000.0,0.5,28.002504224167435,9.647058913247196,3.930478613315435,24.125000000000004,13.0,1.0
18.0,0.0002777777777777778,c,0.65,25000.0,0.5,57.95383444555738,77.90184920752054,0.8799230577594026,33.125,14.0,1.0
18.0,0.0002777777777777778,a,0.9,25000.0,0.5,17.078506223541932,84.78504969538633,4.634928998505846,33.8,15.0,1.0
18.0,0.0002777777777777778,b,0.9,25000.0,0.5,66.47523313204874,82.02873605333156,1.577984554060924,34.75,16.0,1.0
18.0,0.0002777777777777778,c,0.9,25000.0,0.5,38.05977637760589,13.151608680839733,1.3393734429497757,43.75,17.0,1.0
18.0,0.0002777777777777778,a,0.4,20000.0,0.5,94.82898746845012,36.222898890799215,,13.050000000000002,0.0,2.0
18.0,0.0002777777777777778,b,0.4,20000.0,0.5,91.09760560328097,76.41541089182647,9.24996143331183,14.000000000000002,1.0,2.0
18.0,0.0002777777777777778,c,0.4,20000.0,0.5,45.39922687484903,40.150007998599,0.5707947666471298,23.0,2.0,2.0
18.0,0.0002777777777777778,a,0.65,20000.0,0.5,75.38108172884642,86.30680875604732,8.212967719647022,17.425000000000004,3.0,2.0
18.0,0.0002777777777777778,b,0.65,20000.0,0.5,58.11016754704904,36.71596937880094,0.897967719646128,18.375000000000004,4.0,2.0
18.0,0.0002777777777777778,c,0.65,20000.0,0.5,97.31686487562405,12.930110916936233,3.214634386313157,27.375000000000004,5.0,2.0
18.0,0.0002777777777777778,a,0.9,20000.0,0.5,43.63301392475527,17.314508803341468,5.197637180238938,28.05,6.0,2.0
18.0,0.0002777777777777778,b,0.9,20000.0,0.5,74.49316651350118,47.00324517330833,1.563748291349481,29.0,7.0,2.0
18.0,0.0002777777777777778,c,0.9,20000.0,0.5,45.81426535368319,2.398511971209216,2.2218038469051393,38.0,8.0,2.0
18.0,0.0002777777777777778,a,0.4,25000.0,0.5,23.234562573077568,11.650653152621103,13.335881913289048,18.8,9.0,2.0
18.0,0.0002777777777777778,b,0.4,25000.0,0.5,53.30762304218941,67.65420199872467,1.3878263577479701,19.75,10.0,2.0
18.0,0.0002777777777777778,c,0.4,25000.0,0.5,62.14810730864529,60.09016762143119,0.7356041355256461,28.75,11.0,2.0
18.0,0.0002777777777777778,a,0.65,25000.0,0.5,36.13518471890479,85.73508764135234,7.112145279982599,23.175000000000004,12.0,2.0
18.0,0.0002777777777777778,b,0.65,25000.0,0.5,28.002504224167435,9.647058913247196,3.930478613315435,24.125000000000004,13.0,2.0
18.0,0.0002777777777777778,c,0.65,25000.0,0.5,57.95383444555738,77.90184920752054,0.8799230577594026,33.125,14.0,2.0
18.0,0.0002777777777777778,a,0.9,25000.0,0.5,17.078506223541932,84.78504969538633,4.634928998505846,33.8,15.0,2.0
18.0,0.0002777777777777778,b,0.9,25000.0,0.5,66.47523313204874,82.02873605333156,1.577984554060924,34.75,16.0,2.0
18.0,0.0002777777777777778,c,0.9,25000.0,0.5,38.05977637760589,13.151608680839733,1.3393734429497757,43.75,17.0,2.0
