end_time,time_step,sensor,speed,altitude,Pdetect,target_x,target_y,Time to Detect,Cost ($M),treatment,replicate
18.0,0.0002777777777777778,a,0.4,5000.0,0.5,99.05398207159774,50.97539701360528,,4.800000000000002,0.0,1.0
18.0,0.0002777777777777778,b,0.4,5000.0,0.5,57.081029505093895,50.33634016137588,1.585696751568966,5.750000000000002,1.0,1.0
18.0,0.0002777777777777778,c,0.4,5000.0,0.5,58.77071497254498,28.04554255455648,4.684863418236117,14.750000000000002,2.0,1.0
18.0,0.0002777777777777778,a,0.5666666666666667,5000.0,0.5,46.05949106322661,31.41916139162261,,7.022222222222221,3.0,1.0
18.0,0.0002777777777777778,b,0.5666666666666667,5000.0,0.5,7.391171885435788,40.83337078116285,,7.972222222222221,4.0,1.0
18.0,0.0002777777777777778,c,0.5666666666666667,5000.0,0.5,66.76847506970827,66.33738795115447,2.1299035893429297,16.97222222222222,5.0,1.0
18.0,0.0002777777777777778,a,0.7333333333333334,5000.0,0.5,36.578098784306825,93.21213691989003,,12.02222222222223,6.0,1.0
18.0,0.0002777777777777778,b,0.7333333333333334,5000.0,0.5,99.6374721637399,65.87888382000774,,12.972222222222229,7.0,1.0
18.0,0.0002777777777777778,c,0.7333333333333334,5000.0,0.5,70.05244825974214,94.24855435536531,,21.97222222222223,8.0,1.0
18.0,0.0002777777777777778,a,0.9,5000.0,0.5,27.42747081656355,8.14117159069575,,19.8,9.0,1.0
18.0,0.0002777777777777778,b,0.9,5000.0,0.5,83.36447307075298,35.276805967291956,,20.75,10.0,1.0
18.0,0.0002777777777777778,c,0.9,5000.0,0.5,75.53581747529213,40.52826150425305,,29.75,11.0,1.0
18.0,0.0002777777777777778,a,0.4,9000.0,0.5,14.75996036216568,51.61743299790144,,5.6800000000000015,12.0,1.0
18.0,0.0002777777777777778,b,0.4,9000.0,0.5,10.115230466184011,94.41152775471033,,6.630000000000002,13.0,1.0
18.0,0.0002777777777777778,c,0.4,9000.0,0.5,16.410891736070354,82.98002833258718,5.448499288230289,15.630000000000003,14.0,1.0
18.0,0.0002777777777777778,a,0.5666666666666667,9000.0,0.5,79.3022735949166,60.608055622520936,,7.902222222222221,15.0,1.0
18.0,0.0002777777777777778,b,0.5666666666666667,9000.0,0.5,72.64778814199609,23.8930557305131,5.415133484502644,8.85222222222222,16.0,1.0
18.0,0.0002777777777777778,c,0.5666666666666667,9000.0,0.5,52.61633272504048,58.53365189514008,0.4165223733907981,17.85222222222222,17.0,1.0
18.0,0.0002777777777777778,a,0.7333333333333334,9000.0,0.5,33.175476609240775,42.598004254173404,3.63882789459032,12.902222222222228,18.0,1.0
18.0,0.0002777777777777778,b,0.7333333333333334,9000.0,0.5,45.11533970492372,38.21946276893543,1.105494561256591,13.852222222222228,19.0,1.0
18.0,0.0002777777777777778,c,0.7333333333333334,9000.0,0.5,74.39508337983978,4.054984304566311,6.044383450146252,22.852222222222228,20.0,1.0
18.0,0.0002777777777777778,a,0.9,9000.0,0.5,51.62357434062274,4.973367835929476,,20.68,21.0,1.0
18.0,0.0002777777777777778,b,0.9,9000.0,0.5,72.1145174220831,3.5320115194643176,,21.63,22.0,1.0
18.0,0.0002777777777777778,c,0.9,9000.0,0.5,19.41136046032621,97.45419497050702,,30.63,23.0,1.0
18.0,0.0002777777777777778,a,0.4,13000.0,0.5,52.31736585532792,62.03368686092454,2.3913945927449416,7.5200000000000005,24.0,1.0
18.0,0.0002777777777777778,b,0.4,13000.0,0.5,76.2367322713819,64.76809158837168,5.976950148301058,8.47,25.0,1.0
