end_time,time_step,sensor,speed,altitude,Pdetect,target_x,target_y,Time to Detect,Cost ($M),mission_type,found_quantity,treatment,replicate
18.0,0.0002777777777777778,a,0.4,5000.0,0.5,55.07979025745755,24.297817969395506,,4.800000000000002,0.0,0,0.0,3.0
18.0,0.0002777777777777778,b,0.4,5000.0,0.5,70.81478226181048,47.95073048230669,4.582363418236101,5.750000000000002,0.0,1,1.0,3.0
18.0,0.0002777777777777778,c,0.4,5000.0,0.5,29.090473891294433,0.0745522041897928,,14.750000000000002,0.0,0,2.0,3.0
18.0,0.0002777777777777778,a,0.5666666666666667,5000.0,0.5,51.0827605197663,3.0311360522466524,,7.022222222222221,0.0,0,3.0,3.0
18.0,0.0002777777777777778,b,0.5666666666666667,5000.0,0.5,89.29469543476547,46.15481516478055,,7.972222222222221,0.0,0,4.0,3.0
18.0,0.0002777777777777778,c,0.5666666666666667,5000.0,0.5,89.6293088933438,16.25206848665193,5.281570256010089,16.97222222222222,0.0,1,5.0,3.0
18.0,0.0002777777777777778,a,0.7333333333333334,5000.0,0.5,12.558531046383624,67.95018037732852,,12.02222222222223,0.0,0,6.0,3.0
18.0,0.0002777777777777778,b,0.7333333333333334,5000.0,0.5,20.724287813818677,79.52045871766384,5.09714772307864,12.972222222222229,0.0,1,7.0,3.0
18.0,0.0002777777777777778,c,0.7333333333333334,5000.0,0.5,5.146720330082988,57.81633587377102,,21.97222222222223,0.0,0,8.0,3.0
18.0,0.0002777777777777778,a,0.9,5000.0,0.5,44.08098436506365,69.47649771732057,,19.8,0.0,0,9.0,3.0
18.0,0.0002777777777777778,b,0.9,5000.0,0.5,2.9876210878566956,39.09580157338787,,20.75,0.0,0,10.0,3.0
18.0,0.0002777777777777778,c,0.9,5000.0,0.5,45.683322439471105,4.629620299294834,,29.75,0.0,0,11.0,3.0
18.0,0.0002777777777777778,a,0.4,9000.0,0.5,64.91440476147608,43.942153262964936,3.014888177118798,5.6800000000000015,0.0,1,12.0,3.0
18.0,0.0002777777777777778,b,0.4,9000.0,0.5,27.84872826479753,37.198031220943975,3.045999288229914,6.630000000000002,0.0,1,13.0,3.0
18.0,0.0002777777777777778,c,0.4,9000.0,0.5,67.62549019801313,59.70032422003301,1.4126659548963252,15.630000000000003,0.0,1,14.0,3.0
18.0,0.0002777777777777778,a,0.5666666666666667,9000.0,0.5,59.086281741635084,13.421816969903311,,7.902222222222221,0.0,0,15.0,3.0
18.0,0.0002777777777777778,b,0.5666666666666667,9000.0,0.5,2.3981882377165364,22.771289672183592,,8.85222222222222,0.0,0,16.0,3.0
18.0,0.0002777777777777778,c,0.5666666666666667,9000.0,0.5,55.8854087990882,81.47824165272797,1.9451334845021016,17.85222222222222,0.0,1,17.0,3.0
18.0,0.0002777777777777778,a,0.7333333333333334,9000.0,0.5,25.925244690746542,26.432552664021316,,12.902222222222228,0.0,0,18.0,3.0
18.0,0.0002777777777777778,b,0.7333333333333334,9000.0,0.5,41.510119701006964,41.03202049071633,0.4216056723676339,13.852222222222228,0.0,1,19.0,3.0
18.0,0.0002777777777777778,c,0.7333333333333334,9000.0,0.5,28.352508177131874,93.59721764957816,2.8802167834790904,22.852222222222228,0.0,1,20.0,3.0
18.0,0.0002777777777777778,a,0.9,9000.0,0.5,69.31379183129962,27.555246302085457,,20.68,0.0,0,21.0,3.0
18.0,0.0002777777777777778,b,0.9,9000.0,0.5,44.045371767073945,14.528995885356387,,21.63,0.0,0,22.0,3.0
18.0,0.0002777777777777778,c,0.9,9000.0,0.5,15.686773847496326,70.20201293314523,1.5161540046453668,30.63,0.0,1,23.0,3.0
18.0,0.0002777777777777778,a,0.4,13000.0,0.5,54.464901803184475,56.706655044127466,0.7061168149669022,7.5200000000000005,0.0,1,24.0,3.0
18.0,0.0002777777777777778,b,0.4,13000.0,0.5,78.03147645113671,61.1593835546597,3.5552834816340124,8.47,0.0,1,25.0,3.0
18.0,0.0002777777777777778,c,0.4,13000.0,0.5,30.636353237617975,4.203085099357362,4.260283481634123,17.47,0.0,1,26.0,3.0
18.0,0.0002777777777777778,a,0.5666666666666667,13000.0,0.5,22.19578839321814,41.72668947572268,4.7243177517419745,9.742222222222221,0.0,1,27.0,3.0
18.0,0.0002777777777777778,b,0.5666666666666667,13000.0,0.5,38.79712575556488,0.42664341671594386,,10.69222222222222,0.0,0,28.0,3.0
18.0,0.0002777777777777778,c,0.5666666666666667,13000.0,0.5,93.63836498604304,24.65354688608895,3.13765108507506,19.69222222222222,0.0,1,29.0,3.0
18.0,0.0002777777777777778,a,0.7333333333333334,13000.0,0.5,97.59954224729339,70.60561835840063,,14.742222222222228,0.0,0,30.0,3.0
18.0,0.0002777777777777778,b,0.7333333333333334,13000.0,0.5,67.23836759128136,6.154071592069976,4.582225333416902,15.692222222222227,0.0,1,31.0,3.0
18.0,0.0002777777777777778,c,0.7333333333333334,13000.0,0.5,90.28341085383981,29.469349860327988,2.0119475556387227,24.692222222222227,0.0,1,32.0,3.0
18.0,0.0002777777777777778,a,0.9,13000.0,0.5,84.57508712931792,98.81127528121782,,22.52,0.0,0,33.0,3.0
18.0,0.0002777777777777778,b,0.9,13000.0,0.5,37.79940413288892,97.12222302269755,,23.47,0.0,0,34.0,3.0
18.0,0.0002777777777777778,c,0.9,13000.0,0.5,9.221700887172425,48.1846388679705,1.5072864856644357,32.47,0.0,1,35.0,3.0
18.0,0.0002777777777777778,a,0.4,17000.0,0.5,65.34109025235362,73.56933865282458,3.9152202532627802,10.320000000000002,0.0,1,36.0,3.0
18.0,0.0002777777777777778,b,0.4,17000.0,0.5,55.784076238845095,63.265577418613894,0.8329980310400764,11.270000000000001,0.0,1,37.0,3.0
18.0,0.0002777777777777778,c,0.4,17000.0,0.5,36.156476306257815,46.569307144373674,0.5204980310400669,20.270000000000003,0.0,1,38.0,3.0
18.0,0.0002777777777777778,a,0.5666666666666667,17000.0,0.5,22.505450483983193,85.70664326413197,6.134959394460501,12.542222222222222,0.0,1,39.0,3.0
18.0,0.0002777777777777778,b,0.5666666666666667,17000.0,0.5,40.65199163762486,17.2518252166179,2.6974593944599636,13.492222222222221,0.0,1,40.0,3.0
18.0,0.0002777777777777778,c,0.5666666666666667,17000.0,0.5,46.894024869916905,82.84319222441106,1.3819038389042024,22.49222222222222,0.0,1,41.0,3.0
18.0,0.0002777777777777778,a,0.7333333333333334,17000.0,0.5,26.923557825106126,4.206952345831805,7.607064582588592,17.54222222222223,0.0,1,42.0,3.0
18.0,0.0002777777777777778,b,0.7333333333333334,17000.0,0.5,29.179277422543258,86.69536918127984,2.2815090270322034,18.492222222222228,0.0,1,43.0,3.0
18.0,0.0002777777777777778,c,0.7333333333333334,17000.0,0.5,45.768639932297795,67.59965874682477,0.3759534714763988,27.492222222222228,0.0,1,44.0,3.0
18.0,0.0002777777777777778,a,0.9,17000.0,0.5,86.05339129469264,44.59141099108685,4.047906532314631,25.320000000000004,0.0,1,45.0,3.0
18.0,0.0002777777777777778,b,0.9,17000.0,0.5,58.62529044678214,67.1570247634277,0.4767954212029853,26.270000000000003,0.0,1,46.0,3.0
18.0,0.0002777777777777778,c,0.9,17000.0,0.5,28.34878624322098,46.03685038892419,0.49429542120298453,35.27,0.0,1,47.0,3.0
18.0,0.0002777777777777778,a,0.4,21000.0,0.5,27.797750662360134,78.00032223785853,4.436130815834927,14.080000000000002,0.0,1,48.0,3.0
18.0,0.0002777777777777778,b,0.4,21000.0,0.5,45.46220755219468,11.34440838641173,4.034741926945975,15.030000000000001,0.0,1,49.0,3.0
18.0,0.0002777777777777778,c,0.4,21000.0,0.5,20.541034460498754,50.81574288486054,1.294186371389992,24.03,0.0,1,50.0,3.0
18.0,0.0002777777777777778,a,0.5666666666666667,21000.0,0.5,20.137871104307315,87.14895399438728,5.13458907261579,16.30222222222222,0.0,1,51.0,3.0
18.0,0.0002777777777777778,b,0.5666666666666667,21000.0,0.5,51.40350598174419,92.75292758120224,3.0940335170599154,17.25222222222222,0.0,1,52.0,3.0
18.0,0.0002777777777777778,c,0.5666666666666667,21000.0,0.5,8.722936878080468,22.033633154831268,1.848755739281943,26.25222222222222,0.0,1,53.0,3.0
18.0,0.0002777777777777778,a,0.7333333333333334,21000.0,0.5,48.35855323515865,25.193030255461892,2.0139248894452075,21.302222222222227,0.0,1,54.0,3.0
18.0,0.0002777777777777778,b,0.7333333333333334,21000.0,0.5,36.21762123878334,90.40124716089886,2.4100360005563806,22.252222222222226,0.0,1,55.0,3.0
18.0,0.0002777777777777778,c,0.7333333333333334,21000.0,0.5,70.76866218156711,34.551733871512845,0.5580915561116595,31.252222222222226,0.0,1,56.0,3.0
18.0,0.0002777777777777778,a,0.9,21000.0,0.5,74.67462231020046,5.687257404871559,,29.08,0.0,0,57.0,3.0
18.0,0.0002777777777777778,b,0.9,21000.0,0.5,69.10929218557644,71.48866721120328,0.7124778934572497,30.029999999999998,0.0,1,58.0,3.0
